日期,時間,重點,行程交通,預約狀態,備註
【諾曼第自駕真好玩】9/25–9/30,,,,,
9/25 (五),整天,雷恩租車出發 ➔ 聖馬洛海盜城 ➔ 康卡勒生蠔 ➔ 聖米歇爾山住宿,自駕 D137 / D797 / N176,已預約,全日自駕・首次上路注意圓環讓行與速限・行李全遮蔽防破窗
9/25 (五),06:48,高鐵出發：Paris Montparnasse ➔ Rennes,TGV 高鐵（訂位代碼 4WCP2R・2人共68€）,✅車票已買,06:48 準時出發・08:15 準時抵達雷恩站
9/25 (五),08:30,雷恩火車站取車・檢查車況與設定導航,雷恩火車站租車中心 Gare de Rennes,✅已預約 (Sixt: 9738701348),下車往北出口(Relay左側)下手扶梯至麥當勞左側Sixt櫃檯・至Effia停車場0樓輸入密碼【6060】上7樓取車・刷扣€300押金(主駕信用卡)・全車錄影・全車禁菸
9/25 (五),09:15,自駕啟程前往聖馬洛（Saint-Malo）,自駕 D137快速道路（約70km/預留75分）,⬜免費（無收費站）,路況寬敞筆直適合適應車況・速限110km/h・注意固定測速相機
9/25 (五),10:30,聖馬洛古城（Intra-Muros）漫步城牆,停入 Q-Park Saint Vincent 地下停車場,現場付費 / 刷卡,走城牆(Remparts)看英吉利海峽與國家碉堡・採購 Kouign-amann 焦糖奶油酥
9/25 (五),12:30,聖馬洛舊城午餐・正宗布列塔尼薄餅,舊城區步行,現場候位,品嚐正統布列塔尼蕎麥薄餅(Galette)搭配在地蘋果氣泡酒(Cidre)
9/25 (五),13:30,徒步跨海登上大貝島（Grand Bé）,步行潮汐石道,⬜免費,⭐迎合 13:54 乾潮最低水位！石道完全露出乾燥・探訪夏多布里昂墓
9/25 (五),14:45,出發前往生蠔之都康卡勒（Cancale）,自駕 濱海公路（約15km/預留45分）,⬜免費,沿途欣賞諾曼第海岸線・圓環遵守左方來車絕對優先原則
9/25 (五),15:30,康卡勒港邊品嚐產地現開生蠔,停靠 Port de la Houle 港邊收費停車場,現場付費(備小額現金),生蠔市場(Marché aux Huîtres)現開生蠔・坐在堤防邊看海景享用・蠔殼丟下灘塗
9/25 (五),17:00,前往聖米歇爾山・進入 La Caserne 管制區,自駕 D797/N176省道（約48km/預留75分）,已預約 飯店代碼,抵達道閘輸入 Mercure 飯店入住前寄送之 6 位數 Access Code 抬桿進入・停入飯店專屬免費停車場
